relative_path,category,difference_status,consumer_evidence,consumers,registration,condition,world_render,inventory_render,metadata_evidence,classification,manual_flags,evidence_note
blocks/campfire.png,blocks,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;same-name-object-no-consumer,A same-named block/TESR exists but does not consume this exact PNG; campfire uses cache model textures.
blocks/candle.png,blocks,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;same-name-object-no-consumer,"A same-named lit/unlit block exists, but its block icon is vanilla soulsand and its TESR consumes models/Candle.png."
blocks/lantern.png,blocks,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Lantern has no current registered object or renderer and is excluded from this slice.
blocks/npcBloodBlock.png,blocks,identical,static-closed-set,BlockBlood|texture base|src/main/java/noppes/npcs/CustomItems.java:297|standard-block-icon;BlockBlood|registerIcons|src/main/java/noppes/npcs/blocks/BlockBlood.java:75|world+inventory-icon,blood GameRegistry npcBloodBlock,extra-items-enabled,yes,yes,"metadata%3=0; closed set base,+2,+3",identical/no-op,manual-review;closed-set,Finite three-icon family; this is the registered base path.
blocks/npcBloodBlock2.png,blocks,identical,static-closed-set,BlockBlood|registerIcons getTextureName()+2|src/main/java/noppes/npcs/blocks/BlockBlood.java:76|world+inventory-icon,blood GameRegistry npcBloodBlock,extra-items-enabled,yes,yes,"metadata%3=1; closed set base,+2,+3",identical/no-op,manual-review;closed-set,Finite suffix family derived from the exact registered base texture.
blocks/npcBloodBlock3.png,blocks,identical,static-closed-set,BlockBlood|registerIcons getTextureName()+3|src/main/java/noppes/npcs/blocks/BlockBlood.java:77|world+inventory-icon,blood GameRegistry npcBloodBlock,extra-items-enabled,yes,yes,"metadata%3=2; closed set base,+2,+3",identical/no-op,manual-review;closed-set,Finite suffix family derived from the exact registered base texture.
blocks/npcBorder.png,blocks,identical,unreachable-current,,no instantiated or registered border object found,unreachable-current,unreachable,unreachable,BlockBorder top face would use blockIcon if registered,orphan-candidate,manual-review;unreachable-current,"Class and renderer exist, but the current tree has no object instantiation, texture registration, GameRegistry entry, or renderer registration."
blocks/npcCarpentryBench.png,blocks,current-only,static-exact,CustomItems|carpentyBench setTextureName|src/main/java/noppes/npcs/CustomItems.java:271|world+inventory-icon,carpentyBench GameRegistry npcCarpentyBench,always,yes,yes,standard block icon; TESR separately uses textures/misc/CarpentryBench.png,current-bound,manual-review;separate-model-atlas,Exact block icon is registered; the carpentry TESR model does not consume models/CarpentryBench.png.
blocks/npcCrystal.png,blocks,identical,static-exact,BlockCrystal|constructor textureName|src/main/java/noppes/npcs/blocks/BlockCrystal.java:23|world+inventory-icon,crystal GameRegistry npcCrystalBlock with ItemNpcColored,extra-items-enabled,yes,yes,metadata 0..15 uses EntitySheep fleece tint,identical/no-op,manual-review;tint,Exact icon is tinted by subtype/metadata; alpha and colors still require visual review.
blocks/npcRedstoneBlock.png,blocks,identical,static-exact,CustomItems|redstoneBlock setTextureName|src/main/java/noppes/npcs/CustomItems.java:268|world+inventory-icon,redstoneBlock GameRegistry npcRedstoneBlock,always,yes,yes,activated metadata/state applies colorMultiplier 0xFF6B68,identical/no-op,manual-review;tint,Exact standard icon is current; active-state tint requires visual review.
blocks/npcScripted.png,blocks,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Scripted block depends on the explicitly excluded script system; no exact current consumer.
blocks/npcWaypoint.png,blocks,identical,static-exact,CustomItems|waypoint setTextureName|src/main/java/noppes/npcs/CustomItems.java:278|world+inventory-icon,waypoint GameRegistry npcWaypoint,always,yes,yes,no texture-selection metadata branch,identical/no-op,manual-review,Exact standard block/inventory icon.
blocks/placeholder_0.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 0; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_1.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 1; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_10.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 10; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_11.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 11; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_12.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 12; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_13.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 13; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_14.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 14; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_15.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 15; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_2.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 2; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_3.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 3; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_4.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 4; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_5.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 5; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_6.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 6; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_7.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 7; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_8.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 8; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
blocks/placeholder_9.png,blocks,identical,static-closed-set,BlockPlaceholder|registerIcons placeholder_+i|src/main/java/noppes/npcs/blocks/BlockPlaceholder.java:46|world+inventory-icon,local placeholder GameRegistry npcPlaceholder with ItemPlaceholder,extra-items-enabled,yes,yes,metadata 9; finite loop i=0..15,identical/no-op,manual-review;closed-set,Exact member of the reviewed placeholder_0..15 finite icon family.
models/anvil.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,"No exact consumer; current TileBlockAnvil renderer binds textures/misc/CarpentryBench.png, so model/UV mapping requires manual review."
models/banner/BannerFloorDiamond.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/BannerFloorGold.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/BannerFloorIron.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/BannerFloorStone.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/BannerFloorWood.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/flag/curved.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/flag/normal.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/flag/pointy.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/flag/torn.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/banner/flag/triangle.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/BannerFlag.png,models,current-only,static-exact,BlockBannerRenderer|resourceFlag|src/main/java/noppes/npcs/client/renderer/blocks/BlockBannerRenderer.java:26|TESR+inventory;BlockWallBannerRenderer|resourceFlag|src/main/java/noppes/npcs/client/renderer/blocks/BlockWallBannerRenderer.java:46|TESR+inventory,banner and wallBanner ISBRH/TESR,extra-items-enabled,yes,yes,world TileBanner.color; inventory colorTable[15-metadata],current-bound,manual-review;shared-atlas,Exact atlas is shared by floor and wall banner; material body uses cache textures.
models/Barrel.png,models,identical,static-exact,BlockBarrelRenderer|resource1|src/main/java/noppes/npcs/client/renderer/blocks/BlockBarrelRenderer.java:23|TESR+inventory,barrel ISBRH/TESR,extra-items-enabled,yes,yes,"wood metadata 0 oak, 1 spruce, 2 birch, 3 jungle",identical/no-op,manual-review,Exact atlas supplies lit/trim layers; body wood uses cache textures.
models/barrel/acacia_lid.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/barrel/birch_lid.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/barrel/dark_oak_lid.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/barrel/jungle_lid.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/barrel/oak_lid.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/barrel/spruce_lid.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/barrel/trim.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/BigSign.png,models,identical,static-exact,BlockBigSignRenderer|resource|src/main/java/noppes/npcs/client/renderer/blocks/BlockBigSignRenderer.java:25|TESR+inventory,bigsign ISBRH/TESR,extra-items-enabled,yes,yes,no texture-selection metadata branch,identical/no-op,manual-review,Exact model atlas is used in world and 3D inventory rendering.
models/CampfireCoals.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/Candle.png,models,current-only,static-exact,BlockCandleRenderer|resource1|src/main/java/noppes/npcs/client/renderer/blocks/BlockCandleRenderer.java:28|TESR+inventory,candle and candle_unlit share ISBRH/TESR,extra-items-enabled,yes,yes,lit and unlit objects share renderer; no atlas metadata branch,current-bound,manual-review;case-collision;registry-name-risk,Exact uppercase current path is consumed; do not fold into upstream models/candle.png. Candle/lamp registry names are interchanged.
