relative_path,category,difference_status,consumer_evidence,consumers,registration,condition,world_render,inventory_render,metadata_evidence,classification,manual_flags,evidence_note
models/candle.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;case-collision,Lowercase upstream path has no exact consumer; current renderer consumes models/Candle.png. Preserve both exact keys and never case-fold or rename automatically.
models/CarpentryBench.png,models,different,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,orphan-candidate,manual-review;misc-path-consumer,"This exact models path is unconsumed; BlockCarpentryBenchRenderer.java:13 instead binds textures/misc/CarpentryBench.png, and current/upstream model dimensions differ."
models/chair/acacia.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/chair/birch.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/chair/dark_oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/chair/jungle.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/chair/oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/chair/spruce.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/couch/acacia.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/couch/birch.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/couch/dark_oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/couch/jungle.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/couch/oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/couch/spruce.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/couch/wool.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/flame.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;animated-strip;sidecar-excluded,"Animated strip has no exact consumer; animation sidecar behavior is explicitly excluded, so model/visual review remains manual."
models/flame.png.mcmeta,models,upstream-only,not-applicable-sidecar,,not applicable,not applicable,no,no,animation sidecar excluded from 1.6.4 backport scope,missing-system/excluded,sidecar;manual-review;excluded,Animation sidecar is inventory evidence only; #21 explicitly excludes sidecar behavior.
models/flame_single.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/Ink.png,models,identical,static-exact,BlockBookRenderer|resource2|src/main/java/noppes/npcs/client/renderer/blocks/BlockBookRenderer.java:27|TESR+inventory,book ISBRH/TESR,extra-items-enabled,yes,yes,ink layer only; book body uses vanilla enchanting-table atlas,identical/no-op,manual-review,Exact atlas supplies only the ink layer in world and inventory rendering.
models/Lamp.png,models,current-only,static-exact,BlockLampRenderer|resource1|src/main/java/noppes/npcs/client/renderer/blocks/BlockLampRenderer.java:28|TESR+inventory,lamp and lamp_unlit share ISBRH/TESR,extra-items-enabled,yes,yes,lit and unlit objects share renderer; no atlas metadata branch,current-bound,manual-review;registry-name-risk,"Exact atlas is consumed; candle/lamp GameRegistry names are interchanged, so field/class evidence is authoritative."
models/lamp/short/diamond.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Short Lamp requires the excluded #22 registration/model slice; no exact current consumer.
models/lamp/short/gold.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Short Lamp requires the excluded #22 registration/model slice; no exact current consumer.
models/lamp/short/iron.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Short Lamp requires the excluded #22 registration/model slice; no exact current consumer.
models/lamp/short/stone.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Short Lamp requires the excluded #22 registration/model slice; no exact current consumer.
models/lamp/short/wood.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Short Lamp requires the excluded #22 registration/model slice; no exact current consumer.
models/lamp/tall/diamond.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/lamp/tall/gold.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/lamp/tall/iron.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/lamp/tall/stone.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/lamp/tall/wood.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/lantern.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Lantern has no current registered object or renderer and is excluded from this slice.
models/legacy/banner.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;legacy-path,Legacy basename similarity does not establish an exact consumer or authorize remapping; model and UV review is required.
models/legacy/bench.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;legacy-path,Legacy basename similarity does not establish an exact consumer or authorize remapping; model and UV review is required.
models/legacy/Candle.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;legacy-path,Legacy basename similarity does not establish an exact consumer or authorize remapping; model and UV review is required.
models/legacy/Lamp.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;legacy-path,Legacy basename similarity does not establish an exact consumer or authorize remapping; model and UV review is required.
models/legacy/mailbox1.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;legacy-path,Legacy basename similarity does not establish an exact consumer or authorize remapping; model and UV review is required.
models/legacy/npcPedestal.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;legacy-path,Legacy basename similarity does not establish an exact consumer or authorize remapping; model and UV review is required.
models/legacy/Steel.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review;legacy-path,Legacy basename similarity does not establish an exact consumer or authorize remapping; model and UV review is required.
models/mailbox.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/mailbox1.png,models,current-only,static-exact,BlockMailboxRenderer|text1|src/main/java/noppes/npcs/client/renderer/blocks/BlockMailboxRenderer.java:24|TESR+inventory,mailbox ISBRH/TESR,always,yes,yes,world type=blockMetadata>>2 selects 0; low bits orient; inventory metadata 0,current-bound,manual-review;metadata-type;duplicate-handler-risk,"Type 0 atlas. Renderer constructor registers a handler, then ClientProxy registers the same instance again."
models/mailbox2.png,models,identical,static-exact,BlockMailboxRenderer|text2|src/main/java/noppes/npcs/client/renderer/blocks/BlockMailboxRenderer.java:25|TESR+inventory,mailbox ISBRH/TESR,always,yes,yes,world type=blockMetadata>>2 selects 1; low bits orient; inventory metadata 1,identical/no-op,manual-review;metadata-type;duplicate-handler-risk,"Type 1 atlas. Renderer constructor registers a handler, then ClientProxy registers the same instance again."
models/npcPedestal.png,models,current-only,static-exact,BlockPedestalRenderer|resource|src/main/java/noppes/npcs/client/renderer/blocks/BlockPedestalRenderer.java:25|TESR+inventory,pedestal ISBRH/TESR,extra-items-enabled,yes,yes,"material metadata 0 wood, 1 stone, 2 iron, 3 gold, 4 diamond",current-bound,manual-review,Exact overlay atlas is combined with cache material textures.
models/pedestal/diamond.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/pedestal/gold.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/pedestal/iron.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/pedestal/stone.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/pedestal/wood.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/Steel.png,models,current-only,static-exact,BlockRendererInterface|Steel|src/main/java/noppes/npcs/client/renderer/blocks/BlockRendererInterface.java:25|shared-model-atlas;BlockSignRenderer|Steel|src/main/java/noppes/npcs/client/renderer/blocks/BlockSignRenderer.java:39|TESR+inventory,sign ISBRH/TESR,extra-items-enabled,yes,yes,"wood metadata 0 oak, 1 spruce, 2 birch, 3 jungle for separate sign layer",current-bound,manual-review,Exact steel atlas is bound for the sign metal model; wood layer uses cache textures.
models/stool/acacia.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/stool/birch.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/stool/dark_oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/stool/jungle.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/stool/oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/stool/spruce.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/table/acacia.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/table/birch.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/table/dark_oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,missing-system/excluded,manual-review;excluded,Extra wood species/data semantics belong to excluded #23; no exact current consumer.
models/table/jungle.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/table/oak.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
models/table/spruce.png,models,upstream-only,none-extracted,,none for exact path,not reached,no exact-path evidence,no exact-path evidence,none established for exact path,model-bound,manual-review,No case-exact current Java consumer was extracted; similar names or legacy paths do not establish compatibility.
